[16:01:14]兵者TWOW服务端启动...
[16:01:14]此服务端的版本为 V1.0 协议版本为 1
[16:01:14]监听端口: 17115
[16:01:38]( 0)KirkLee123 正在尝试登陆...
[16:01:38]( 0)KirkLee123 登陆成功!
[16:01:44]( 1)LKX 正在尝试登陆...
[16:01:44]( 1)LKX 账号密码错误!
[16:01:44]( 1) 断开连接
[16:01:48]( 0)KirkLee123 断开连接
[16:01:58]( 0)LKX 正在尝试登陆...
[16:01:58]( 0)LKX 账号密码错误!
[16:01:58]( 0) 断开连接
[16:02:02]( 0)LKX 正在尝试登陆...
[16:02:02]( 0)LKX 账号密码错误!
[16:02:02]( 0) 断开连接
[16:02:20]( 0)KirkLee123 正在尝试登陆...
[16:02:20]( 0)KirkLee123 登陆成功!
[16:02:23]( 1)LKX 正在尝试登陆...
[16:02:23]( 1)LKX 账号密码错误!
[16:02:23]( 1) 断开连接
[16:02:43]( 0)KirkLee123 断开连接
[16:03:21]( 0)KirkLee123 正在尝试登陆...
[16:03:21]( 0)KirkLee123 登陆成功!
[16:03:23]( 1)LKX 正在尝试登陆...
[16:03:23]( 1)LKX 账号密码错误!
[16:03:23]( 1) 断开连接
[16:03:34]( 0)KirkLee123 断开连接
[16:05:07]( 0)KirkLee123 正在尝试登陆...
[16:05:07]( 0)KirkLee123 登陆成功!
[16:05:10]( 1)LKX 正在尝试登陆...
[16:05:10]( 1)LKX 账号密码错误!
[16:05:10]( 1) 断开连接
[16:05:14]( 0)KirkLee123 断开连接
[16:05:29]( 0)KirkLee123 正在尝试登陆...
[16:05:29]( 0)KirkLee123 登陆成功!
[16:05:30]( 1)LKX 正在尝试登陆...
[16:05:30]( 1)LKX 账号密码错误!
[16:05:30]( 1) 断开连接
[16:05:36]( 0)KirkLee123 断开连接
[16:06:40]( 0)LKX 正在尝试登陆...
[16:06:40]( 0)LKX 账号密码错误!
[16:06:40]( 0) 断开连接
[16:06:41]( 0)LKX 正在尝试登陆...
[16:06:41]( 0)LKX 账号密码错误!
[16:06:41]( 0) 断开连接
[16:06:42]( 0)KirkLee123 正在尝试登陆...
[16:06:42]( 0)KirkLee123 登陆成功!
[16:06:44]( 1)LKX 正在尝试登陆...
[16:06:44]( 1)LKX 账号密码错误!
[16:06:44]( 1) 断开连接
[16:07:02]( 0)KirkLee123 断开连接
[16:07:32]( 0)KirkLee123 正在尝试登陆...
[16:07:32]( 0)KirkLee123 登陆成功!
[16:07:36]( 1)LKX 正在尝试登陆...
[16:07:36]( 1)LKX 账号密码错误!
[16:07:36]( 1) 断开连接
[16:07:42]( 0)KirkLee123 断开连接
[16:08:12]( 0)KirkLee123 正在尝试登陆...
[16:08:12]( 0)KirkLee123 登陆成功!
[16:08:18]( 1)LKX 正在尝试登陆...
[16:08:18]( 1)LKX 账号密码错误!
[16:08:18]( 1) 断开连接
[16:08:39]( 0)KirkLee123 断开连接
[16:09:05]( 0)KirkLee123 正在尝试登陆...
[16:09:05]( 0)KirkLee123 登陆成功!
[16:09:09]( 1)LKX 正在尝试登陆...
[16:09:09]( 1)LKX 账号密码错误!
[16:09:09]( 1) 断开连接
[16:09:38]( 0)KirkLee123 断开连接
[16:10:00]( 0)KirkLee123 正在尝试登陆...
[16:10:00]( 0)KirkLee123 登陆成功!
[16:10:05]( 1)LKX 正在尝试登陆...
[16:10:05]( 1)LKX 账号密码错误!
[16:10:05]( 1) 断开连接
[16:10:14]( 0)KirkLee123 断开连接
[16:11:20]正在关闭服务端...

